filename,sheet_name,file_year,project_name,gate_number,sku_name,sku_name,Market,list_price_AUD,forecast_volume_y1,forecast_volume_y2,forecast_volume_y3,forecast_net_sales_y1,forecast_net_sales_y2,forecast_net_sales_y3,launchyr_coop_listingfees_y1,launchyr_coop_listingfees_y2,launchyr_coop_listingfees_y3,one_time_costs_y1,one_time_costs_y2,one_time_costs_y3
G2 P&L - Cosmos - AU - CANZ - Inno (I-L) - With Halo.xlsm,Project Summary,,Cosmos,G2,Retreive RX_Australia,Retreive RX,Australia,58.69,,,,,,,,,,,,
G4 P&L (with Halo) - Cosmos - CANZ - AU - Inno (I-L).xlsm,Project Summary,,Cosmos,G4,Brand site Retreive One 1% Retinol Cream Serum  30mL_Australia,Brand site Retreive One 1% Retinol Cream Serum  30mL,Australia,54.5,4000.0,9000.0,11000.0,213640.0,480690.0,587510.0,0.0,,,20000.0,,
G4 P&L (with Halo) - Cosmos - CANZ - AU - Inno (I-L).xlsm,Project Summary,,Cosmos,G4,Retreive RX_Australia,Retreive RX,Australia,58.69,12000.0,27000.0,33000.0,704280.0,1584630.0,1936770.0,0.0,,,0.0,,
G4 P&L (no Halo) - Cosmos - CANZ - AU - Inno (I-L).xlsm,Project Summary,,Cosmos,G4,Brand site Retreive One 1% Retinol Cream Serum  30mL_Australia,Brand site Retreive One 1% Retinol Cream Serum  30mL,Australia,54.5,4000.0,9000.0,11000.0,213640.0,480690.0,587510.0,0.0,,,20000.0,,
G3 P&L - Rusty - AU NZ - CANZ - Reno (P).xlsm,Project Summary,,Rusty,G3,Betadine Ready to Use Gargle 200mL_Australia,Betadine Ready to Use Gargle 200mL,Australia,14.93,11627.0,115000.0,140000.0,107279.30597999999,1061075.1,1291743.6,0.0,,,7200.0,,
G3 P&L - Rusty - AU NZ - CANZ - Reno (P).xlsm,Project Summary,,Rusty,G3,Betadine Ready to Use Gargle 60mL_Australia,Betadine Ready to Use Gargle 60mL,Australia,7.16,20079.0,119614.0,120000.0,83527.83684,497589.45544,499195.2,0.0,,,4800.0,,
G3 P&L - Rusty - AU NZ - CANZ - Reno (P).xlsm,Project Summary,,Rusty,G3,Betadine Antiseptic Solution 500mL_Australia,Betadine Antiseptic Solution 500mL,Australia,20.74,12982.0,20279.0,20587.0,174741.09532000002,272960.61254,277106.37262,0.0,,,0.0,,
G3 P&L - Rusty - AU NZ - CANZ - Reno (P).xlsm,Project Summary,,Rusty,G3,Betadine Antiseptic First Aid Cream 45g_Australia,Betadine Antiseptic First Aid Cream 45g,Australia,12.83,14625.0,43106.0,43744.0,130033.65375,383263.63613999996,388936.21536000003,0.0,,,8600.0,,
G3 P&L - Rusty - AU NZ - CANZ - Reno (P).xlsm,Project Summary,,Rusty,G3,Betadine Ready to Use Gargle 200mL_NZ,Betadine Ready to Use Gargle 200mL,NZ,13.425925925925926,0.0,14000.0,16800.0,0.0,146611.1111111111,175933.33333333334,0.0,,,0.0,,
G3 P&L - Rusty - AU NZ - CANZ - Reno (P).xlsm,Project Summary,,Rusty,G3,Betadine Ready to Use Gargle 60mL_NZ,Betadine Ready to Use Gargle 60mL,NZ,5.833333333333333,0.0,6000.0,7200.0,0.0,27300.0,32760.0,0.0,,,0.0,,
